,rmse,trial_index,arm_name,f_ch4,trial_status,generation_method
0,7.24e-08,0,0_0,0.13413631916046143,COMPLETED,Sobol
3,1.8870000000000002e-07,1,1_0,0.259466718416661,COMPLETED,Sobol
15,5.46e-08,2,2_0,0.06692451937124133,COMPLETED,Sobol
27,3.522e-07,3,3_0,0.38539541931822896,COMPLETED,Sobol
39,7.250000000000001e-08,4,4_0,0.13440139312297106,COMPLETED,Sobol
51,6.31e-08,5,5_0,0.0,COMPLETED,GPEI
56,5.53e-08,6,6_0,0.08241912211605265,COMPLETED,GPEI
57,5.7500000000000005e-08,7,7_0,0.0357693341830818,COMPLETED,GPEI
58,5.54e-08,8,8_0,0.05223243614905644,COMPLETED,GPEI
59,5.48e-08,9,9_0,0.061017219298959535,COMPLETED,GPEI
1,5.47e-08,10,10_0,0.07532958031897895,COMPLETED,GPEI
2,7.320000000000001e-08,11,11_0,0.13554214551668012,COMPLETED,GPEI
4,5.46e-08,12,12_0,0.06693855525719106,COMPLETED,GPEI
5,7.31e-08,13,13_0,0.1353226346621233,COMPLETED,GPEI
6,7.17e-08,14,14_0,0.1329327608395833,COMPLETED,GPEI
7,5.4500000000000005e-08,15,15_0,0.06892476588720955,COMPLETED,GPEI
8,5.4500000000000005e-08,16,16_0,0.06809104154465005,COMPLETED,GPEI
9,5.4500000000000005e-08,17,17_0,0.06979857298947044,COMPLETED,GPEI
10,5.46e-08,18,18_0,0.06807354286487212,COMPLETED,GPEI
11,5.4500000000000005e-08,19,19_0,0.06883706807517995,COMPLETED,GPEI
12,5.4500000000000005e-08,20,20_0,0.06861273478716612,COMPLETED,GPEI
13,5.4500000000000005e-08,21,21_0,0.06866633606652461,COMPLETED,GPEI
14,5.4500000000000005e-08,22,22_0,0.06874007533465959,COMPLETED,GPEI
16,5.46e-08,23,23_0,0.06850084097922804,COMPLETED,GPEI
17,5.46e-08,24,24_0,0.06836089943766496,COMPLETED,GPEI
18,5.46e-08,25,25_0,0.07005245339706388,COMPLETED,GPEI
19,5.46e-08,26,26_0,0.06596975642924985,COMPLETED,GPEI
20,5.48e-08,27,27_0,0.06101597147062421,COMPLETED,GPEI
21,5.4500000000000005e-08,28,28_0,0.06717975344508886,COMPLETED,GPEI
22,5.46e-08,29,29_0,0.06576576549559832,COMPLETED,GPEI
23,5.46e-08,30,30_0,0.07371520483866334,COMPLETED,GPEI
24,5.4500000000000005e-08,31,31_0,0.06800146301048197,COMPLETED,GPEI
25,5.47e-08,32,32_0,0.06088748172600589,COMPLETED,GPEI
26,5.57e-08,33,33_0,0.04961541946977377,COMPLETED,GPEI
28,5.46e-08,34,34_0,0.06604186877659955,COMPLETED,GPEI
29,5.57e-08,35,35_0,0.04961395589634776,COMPLETED,GPEI
30,5.46e-08,36,36_0,0.06874408115302824,COMPLETED,GPEI
31,5.46e-08,37,37_0,0.06877079687052351,COMPLETED,GPEI
32,5.46e-08,38,38_0,0.06863639479846735,COMPLETED,GPEI
33,5.46e-08,39,39_0,0.06876037727463544,COMPLETED,GPEI
34,5.4500000000000005e-08,40,40_0,0.0690093700743072,COMPLETED,GPEI
35,5.4500000000000005e-08,41,41_0,0.06869027307019555,COMPLETED,GPEI
36,5.4500000000000005e-08,42,42_0,0.06891528006269879,COMPLETED,GPEI
37,5.46e-08,43,43_0,0.06931070864117883,COMPLETED,GPEI
38,2.358e-07,44,44_0,0.2983993538655224,COMPLETED,GPEI
40,5.4500000000000005e-08,45,45_0,0.06863996167981268,COMPLETED,GPEI
41,5.4500000000000005e-08,46,46_0,0.06854896806180477,COMPLETED,GPEI
42,5.46e-08,47,47_0,0.06883659446612,COMPLETED,GPEI
43,5.46e-08,48,48_0,0.06872173938012766,COMPLETED,GPEI
44,5.4500000000000005e-08,49,49_0,0.06875778240211507,COMPLETED,GPEI
45,5.46e-08,50,50_0,0.06855521029120171,COMPLETED,GPEI
46,5.4500000000000005e-08,51,51_0,0.06860328052974407,COMPLETED,GPEI
47,5.4500000000000005e-08,52,52_0,0.06843428253964576,COMPLETED,GPEI
48,5.46e-08,53,53_0,0.06856269562723108,COMPLETED,GPEI
49,5.46e-08,54,54_0,0.06854691374773238,COMPLETED,GPEI
50,5.46e-08,55,55_0,0.06873837671709275,COMPLETED,GPEI
52,5.46e-08,56,56_0,0.06851600379406306,COMPLETED,GPEI
53,5.4500000000000005e-08,57,57_0,0.06886006903846814,COMPLETED,GPEI
54,5.4500000000000005e-08,58,58_0,0.06863383823787789,COMPLETED,GPEI
55,5.46e-08,59,59_0,0.06867954280801415,COMPLETED,GPEI
